date,price_inr
2024-07-19,6758.6900000000005
2024-07-22,6743.75
2024-07-23,6493.919999999999
2024-07-24,6538.74
2024-07-25,6592.6900000000005
2024-07-26,6522.139999999999
2024-07-29,6413.41
2024-07-30,6322.110000000001
2024-07-31,6586.88
2024-08-01,6452.419999999999
2024-08-02,6224.169999999999
2024-08-05,6180.179999999999
2024-08-06,6191.799999999999
2024-08-07,6364.4400000000005
2024-08-08,6444.12
2024-08-09,6497.24
2024-08-12,6760.35
2024-08-13,6624.2300000000005
2024-08-14,6513.01
2024-08-15,6611.78
2024-08-16,6478.15
2024-08-19,6293.0599999999995
2024-08-20,6247.41
2024-08-21,6039.080000000001
2024-08-22,6118.76
2024-08-23,6293.0599999999995
2024-08-26,6507.200000000001
2024-08-27,6349.5
2024-08-28,6265.669999999999
2024-08-29,6382.700000000001
2024-08-30,6185.16
2024-09-03,5916.24
2024-09-04,5819.13
2024-09-05,5817.47
2024-09-06,5692.139999999999
2024-09-09,5780.950000000001
2024-09-10,5538.59
2024-09-11,5664.75
2024-09-12,5800.87
2024-09-13,5775.97
2024-09-16,5901.299999999999
2024-09-17,5989.28
2024-09-18,5965.21
2024-09-19,6047.38
2024-09-20,6035.76
2024-09-23,5920.389999999999
2024-09-24,6004.22
2024-09-25,5844.860000000001
2024-09-26,5667.24
2024-09-27,5703.76
2024-09-30,5706.25
2024-10-01,5844.03
2024-10-02,5871.419999999999
2024-10-03,6169.389999999999
2024-10-04,6219.1900000000005
2024-10-07,6454.080000000001
2024-10-08,6163.580000000001
2024-10-09,6129.549999999999
2024-10-10,6346.179999999999
2024-10-11,6317.13
2024-10-15,5911.26
2024-10-16,5890.51
2024-10-17,5914.580000000001
2024-10-18,5791.74
2024-10-21,5906.28
2024-10-22,6045.72
2024-10-23,5923.71
2024-10-24,5858.139999999999
2024-10-25,5977.66
2024-10-28,5614.950000000001
2024-10-29,5600.84
2024-10-30,5719.53
2024-10-31,5775.139999999999
2024-11-01,5794.2300000000005
2024-11-04,5961.889999999999
2024-11-05,5997.580000000001
2024-11-06,5974.34
2024-11-07,6033.2699999999995
2024-11-08,5867.2699999999995
2024-11-12,5679.6900000000005
2024-11-13,5707.080000000001
2024-11-14,5726.169999999999
2024-11-15,5588.389999999999
2024-11-18,5765.179999999999
2024-11-19,5789.25
2024-11-20,5747.75
2024-11-21,5842.37
2024-11-22,5949.4400000000005
2024-11-25,5761.03
2024-11-26,5731.15
2024-11-27,5729.49
2024-11-29,5665.580000000001
2024-12-02,5673.049999999999
2024-12-03,5822.450000000001
2024-12-04,5711.2300000000005
2024-12-05,5692.139999999999
2024-12-06,5692.139999999999
2024-12-09,5697.950000000001
2024-12-10,5714.549999999999
2024-12-11,5857.3099999999995
2024-12-12,5830.75
2024-12-13,5937.820000000001
2024-12-16,5895.49
2024-12-17,5835.7300000000005
2024-12-18,5876.4
2024-12-19,5818.299999999999
2024-12-20,5785.929999999999
2024-12-23,5768.5
2024-12-24,5882.21
2024-12-26,5841.54
2024-12-27,5916.24
2024-12-30,5953.59
2024-12-31,6012.5199999999995
2025-01-02,6124.570000000001
2025-01-03,6195.12
2025-01-06,6167.7300000000005
2025-01-07,6224.169999999999
2025-01-08,6141.169999999999
2025-01-10,6413.41
2025-01-13,6604.3099999999995
2025-01-14,6490.6
2025-01-15,6700.59
2025-01-16,6586.049999999999
2025-01-17,6520.4800000000005
2025-01-21,6373.570000000001
2025-01-22,6317.96
2025-01-23,6227.49
2025-01-24,6222.51
2025-01-27,6101.330000000001
2025-01-28,6154.450000000001
2025-01-29,6054.0199999999995
2025-01-30,6067.299999999999
2025-01-31,6045.72
2025-02-03,6102.16
2025-02-04,6062.320000000001
2025-02-05,5925.37
2025-02-06,5890.51
2025-02-07,5919.5599999999995
2025-02-10,6036.59
2025-02-11,6114.610000000001
2025-02-12,5952.76
2025-02-13,5947.78
2025-02-14,5897.15
2025-02-18,5993.429999999999
2025-02-19,6024.139999999999
2025-02-20,6049.04
2025-02-21,5869.76
2025-02-24,5897.9800000000005
2025-02-25,5739.450000000001
2025-02-26,5716.21
2025-02-27,5861.46
2025-02-28,5807.51
2025-03-03,5696.29
2025-03-04,5683.01
2025-03-05,5526.139999999999
2025-03-06,5529.46
2025-03-07,5585.070000000001
